"Qualification","Experience","Rating","Place","Profile","Fees"
"MS - Ayurvedic Gynecology & Obstetrics, BAMS",8,95,"Kukatpally, Hyderabad","Ayurveda",400
"MBBS, DNB - ENT",4,95,"Secunderabad, Hyderabad","ENT Specialist",600
"BDS, MDS - Periodontics",5,95,"R.S. Puram, Coimbatore","Dentist",100
"BHMS",10,95,"Kumarapuram, Thiruvananthapuram","Homeopath",200
"MBBS, MD - Pathology",23,95,"Palam Colony, Delhi","General Medicine",200
"MBBS, MS - ENT",43,95,"Manali, Chennai","ENT Specialist",100
"BHMS",8,95,"Valasaravakkam, Chennai","Homeopath",150
"MBBS, MD - Internal Medicine, Fellowship in Rheumatology",37,95,"Barkatpura, Hyderabad","General Medicine",700
"MBBS, MD - Dermatology",14,95,"Singanallur, Coimbatore","Dermatologists",150
"BDS",9,100,"T Nagar, Chennai","Dentist",200
"MD - Ayurveda Medicine, BAMS, MBA, D.Y.A",14,95,"Mulund, Mumbai","Ayurveda",600
"MBBS, MD - General Medicine",54,95,"Dadar East, Mumbai","General Medicine",200
"BHMS",14,95,"Borabanda, Hyderabad","Homeopath",500
"MBBS, MD - General Medicine",45,92,"Model Town 3, Delhi","General Medicine",300
"BDS",18,100,"Goregaon West, Mumbai","Dentist",200
"MBBS, MS - ENT, DNB - ENT",6,95,"Ulsoor, Bangalore","ENT Specialist",400
"MBBS, DVD",25,88,"Bhayandar West, Mumbai","Dermatologists",800
"MBBS, MD - Medicine",28,95,"Hari Nagar, Delhi","General Medicine",400
"MBBS, MS - ENT",17,95,"Banashankari 3rd Stage, Bangalore","ENT Specialist",300
"MBBS, MD - Dermatology , Venereology & Leprosy",12,68,"KPHB, Hyderabad","Dermatologists",400
"BHMS",7,100,"Horamavu, Bangalore","Homeopath",200
"DDVL, MBBS",12,95,"Chromepet, Chennai","Dermatologists",250
"MBBS, Diploma in Public Health",21,95,"Santacruz East, Mumbai","General Medicine",350
"MBBS, Diploma in Otorhinolaryngology (DLO)",17,95,"OMR Road, Chennai","ENT Specialist",300
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9,99,"Panchsheel Park, Delhi","Dentist",600
"MD - Homeopathy, BHMS",6,100,"Kammana Halli, Bangalore","Homeopath",300
"BDS, MDS - Prosthodontics",5,95,"Tilak Nagar, Delhi","Dentist",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",5,95,"Panathur, Bangalore","ENT Specialist",400
"BAMS, PhD- Ayurveda",36,95,"Rohini, Delhi","Ayurveda",400
"BHMS",22,95,"Rajarajeshwarinagar, Bangalore","Homeopath",350
"MD - General Medicine, DM - Critical Care Medicine, Post Graduate Course in Diabetology, MBBS",6,95,"Paravur, Ernakulam","General Medicine",150
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology",21,94,"Preet Vihar, Delhi","ENT Specialist",500
"MD - Dermatology , Venereology & Leprosy, MBBS",12,91,"Gachibowli, Hyderabad","Dermatologists",600
"MBBS",37,95,"Chembur East, Mumbai","General Medicine",200
"BSAM",35,95,"Malleswaram, Bangalore","Ayurveda",300
"MBBS, MD - Dermatology, FRGUHS",13,98,"Jakkur, Bangalore","Dermatologists",350
"MBBS, DDV, MD - Dermatology",35,96,"Andheri West, Mumbai","Dermatologists",100
"BDS",11,95,"Vanasthalipuram, Hyderabad","Dentist",100
"MBBS, MD - Dermatology , Venereology & Leprosy",15,95,"Mandaveli, Chennai","Dermatologists",300
"MBBS, Certificate Course in Sports and Fitness Nutrition, MBBS, Diploma in Advanced Skin and Hair Treatments, Doctor of Medicine (Alternate Medicine)",23,95,"Mulund West, Mumbai","General Medicine",500
"MBBS, MD - General Medicine",17,95,"Kumara Park West, Bangalore","General Medicine",400
"BDS, MDS",19,99,"Jubilee Hills, Hyderabad","Dentist",500
"BHMS",13,95,"Dilshad Garden, Delhi","Homeopath",60
"BAMS, Certificate in Cosmetology, Certificate in Cosmetology",28,95,"Wadala, Mumbai","Ayurveda",400
"BAMS",14,95,"Ghatkopar West, Mumbai","Ayurveda",100
"BHMS",10,95,"Domlur, Bangalore","Homeopath",300
"BDS",5,95,"Jeevanbhimanagar, Bangalore","Dentist",100
"MD - Dermatology , Venereology & Leprosy, MBBS",5,95,"Defence Colony, Delhi","Dermatologists",100
"BDS, MDS - Prosthodontics",6,96,"KPHB, Hyderabad","Dentist",200
"BDS",6,95,"Pattom, Thiruvananthapuram","Dentist",100
"BDS",8,100,"Santacruz West, Mumbai","Dentist",300
"MD - Dermatology, MBBS",44,95,"RT Nagar, Bangalore","Dermatologists",200
"BHMS",28,100,"AS Rao Nagar, Hyderabad","Homeopath",300
"MBBS, MD - Dermatology, MD - Skin,VD & Leprosy",12,98,"Janak Puri, Delhi","Dermatologists",300
"MBBS, MS - ENT",23,95,"Shankar Vihar, Delhi","ENT Specialist",500
"MBBS",27,95,"Chembur, Mumbai","General Medicine",100
"MBBS, MD - Dermatology",8,95,"Jogeshwari East, Mumbai","Dermatologists",400
"BDS, MDS - Public Health Dentistry",25,97,"Kasavanahalli, Bangalore","Dentist",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",66,95,"Greams Road, Chennai","ENT Specialist",100
"BAMS",8,95,"Ambalamukku, Thiruvananthapuram","Ayurveda",100
"BAMS, MD - Ayurveda Medicine",12,96,"Jhilmil Colony, Delhi","Ayurveda",300
"BAMS, Post Graduate Diploma In Yoga",37,95,"Dwarka Sector 7, Delhi","Ayurveda",100
"MBBS",37,95,"Tatabad, Coimbatore","General Medicine",100
"MBBS, MS - ENT, Diploma in ENT",45,60,"Adyar, Chennai","ENT Specialist",400
"BAMS, MD - Ayurveda Medicine, MA, DNHE",22,95,"Banashankari 3rd Stage, Bangalore","Ayurveda",300
"BDS",26,95,"Vadavalli, Coimbatore","Dentist",100
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",0,95,"Marine Lines, Mumbai","ENT Specialist",100
"BAMS",11,95,"OMR Road, Chennai","Ayurveda",150
"BHMS",14,95,"Pallikaranai, Chennai","Homeopath",500
"BDS",0,95,"Chromepet, Chennai","Dentist",100
"DHMS (Diploma in Homeopathic Medicine and Surgery)",23,100,"Kandivali East, Mumbai","Homeopath",600
"MD - Skin & VD",9,95,"Ghatkopar East, Mumbai","Dermatologists",100
"MBBS, MD - Dermatology",10,95,"Tolichowki, Hyderabad","Dermatologists",600
"BDS, MDS - Conservative Dentistry & Endodontics",6,95,"Nungambakkam, Chennai","Dentist",500
"MBBS, MS - General Surgery, Diploma in Endoscopy",19,88,"Andheri West, Mumbai","General Medicine",100
"MBBS, Diploma in Anesthesiology",34,95,"Mulund West, Mumbai","General Medicine",100
"MBBS, MD - Pediatrics",9,95,"Yousufguda, Hyderabad","General Medicine",100
"MBBS, Fellowship of College of General Practice (FCGP)",34,95,"Singanallur, Coimbatore","General Medicine",100
"MBBS, MD - General Medicine",37,95,"Mulund West, Mumbai","General Medicine",100
"MBBS, MS - ENT",17,85,"Rohini, Delhi","ENT Specialist",500
"MD - Dermatology , Venereology & Leprosy",4,95,"Sundarapuram, Coimbatore","Dermatologists",200
"BAMS",12,95,"Tolichowki, Hyderabad","Ayurveda",100
"MBBS, MD - Dermatology",15,95,"Vanagaram, Chennai","Dermatologists",600
"MBBS, MRCGP",14,100,"Kothanur, Bangalore","General Medicine",400
"BAMS, MS - Ayurveda",20,95,"Kukatpally, Hyderabad","Ayurveda",250
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",35,98,"Chinmaya Nagar, Chennai","Dentist",150
"BAMS",8,100,"T Nagar, Chennai","Ayurveda",500
"PhD - Orthodontics & Dentofacial Orthopaedics, BDS, MDS - Orthodontics",20,98,"Vasant Vihar, Delhi","Dentist",500
"BDS",8,95,"Mehdipatnam, Hyderabad","Dentist",200
"DHMS (Diploma in Homeopathic Medicine and Surgery)",44,95,"Shaikpet, Hyderabad","Homeopath",500
"BAMS, MD - Ayurveda Medicine",28,95,"AS Rao Nagar, Hyderabad","Ayurveda",200
"MBBS, MD - Microbiology",39,100,"Kadugodi, Bangalore","General Medicine",430
"MBBS, MD - Dermatology",12,96,"Pitampura, Delhi","Dermatologists",600
"BHMS",3,95,"Malleswaram, Bangalore","Homeopath",100
"BAMS",19,95,"Dilshad Garden, Delhi","Ayurveda",80
"BDS",0,95,"Ganapathy, Coimbatore","Dentist",100
"BDS, Post-Graduate Certificate in Oral Implantology (PGCOI)",20,93,"SR Nagar, Hyderabad","Dentist",200
"MBBS, Diploma in Otorhinolaryngology (DLO), DO, MS - ENT",44,95,"Perambur, Chennai","ENT Specialist",100
"BDS",12,98,"Opera House, Mumbai","Dentist",500
"BDS, Diploma in Naturopathy & Yoga (NDDY)",19,96,"Adambakkam, Chennai","Dentist",150
"MBBS, MS - ENT",9,83,"Selvapuram, Coimbatore","ENT Specialist",150
"MBBS, MD - Dermatology , Venereology & Leprosy",40,85,"Karkardooma, Delhi","Dermatologists",100
"MD - Ayurveda Medicine",5,95,"Alwarthirunagar, Chennai","Ayurveda",100
"MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology, MBBS",5,100,"Mahim, Mumbai","Dermatologists",100
"MBBS, MD - Internal Medicine",19,95,"Shalimar Bagh, Delhi","General Medicine",700
"MBBS, Diploma in Dermatology & Venerology, MD - Skin & VD",14,100,"Mulund West, Mumbai","Dermatologists",800
"MBBS, MD - General Medicine",25,95,"KR Puram, Bangalore","General Medicine",100
"BHMS",24,95,"Kalina, Mumbai","Homeopath",50
"BDS, MDS - Paedodontics And Preventive Dentistry",9,100,"Ramesh Nagar, Delhi","Dentist",200
"MBBS, DVD",9,95,"Malakpet, Hyderabad","Dermatologists",250
"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",30,95,"Tondiarpet, Chennai","General Medicine",100
"MBBS, MD - Pharmacology",21,85,"Lajpat Nagar, Delhi","General Medicine",500
"BAMS",14,100,"Hari Nagar, Delhi","Ayurveda",250
"MBBS, Diploma in Diabetology, Fellowship in Diabetology(Royal Liverpool University Hospital, UK)",7,95,"Malad West, Mumbai","General Medicine",100
"MBBS, DDVL",13,97,"Pitampura, Delhi","Dermatologists",400
"MBBS",26,93,"Yeshwanthpur, Bangalore","General Medicine",600
"MDS - Periodontics, BDS",9,95,"Vikrampuri Colony, Hyderabad","Dentist",200
"MBBS, DDVL",13,100,"Besant Nagar, Chennai","Dermatologists",500
"Diploma in Family Medicine (DFM), Post Graduate Diploma in Clinical Research (PGDCR), Post Graduate Diploma in Healthcare Management(PGDHM), MBBS",17,97,"Yelahanka, Bangalore","General Medicine",300
"MBBS, MD - Dermatology , Venereology & Leprosy",10,97,"Vasant Kunj, Delhi","Dermatologists",600
"BDS, F.A.G.E, Certificate in Dental Implants",18,96,"Banaswadi, Bangalore","Dentist",300
"MDS - Prosthodontist And Crown Bridge, BDS",10,97,"BTM Layout, Bangalore","Dentist",300
"BAMS, Diploma In Clinical Panchakarma",7,100,"Medavakkam, Chennai","Ayurveda",300
"MBBS, Diploma in Child Health (DCH), DNB - Pediatrics",21,95,"Vileparle West, Mumbai","General Medicine",100
"MBBS, MS - ENT",10,95,"Sahakaranagar, Bangalore","ENT Specialist",300
"MBBS, MD - Dermatology",22,95,"Attapur, Hyderabad","Dermatologists",350
"BDS, MDS - Oral & Maxillofacial Surgery",19,100,"LB Nagar, Hyderabad","Dentist",500
"MBBS",45,95,"Punjagutta, Hyderabad","General Medicine",150
"BDS",13,90,"Yamuna Vihar, Delhi","Dentist",200
"BAMS",19,95,"Shaikpet, Hyderabad","Ayurveda",300
"BHMS",5,95,"Marathahalli, Bangalore","Homeopath",700
"MBBS, DNB - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO), DAA - Diploma in Allergy Asthma and Immunology",15,99,"JP Nagar 2 Phase, Bangalore","ENT Specialist",350
"MBBS, MS - Endocrinology & Diabetes, Post Graduate Diploma in Diabetology (PGDD)",7,95,"Begumpet, Hyderabad","General Medicine",250
"BHMS, BHMS, MS - Psychology",12,95,"Rani Bagh, Delhi","Homeopath",100
"BDS",17,100,"Jayamahal, Bangalore","Dentist",300
"MBBS, DNB - Family Medicine",6,95,"Whitefield, Bangalore","General Medicine",400
"MBBS, DNB - Family Medicine",13,100,"HSR Layout, Bangalore","General Medicine",500
"MD - Internal Medicine, MBBS",14,98,"Kondapur, Hyderabad","General Medicine",400
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",5,95,"Nagpada, Mumbai","Dentist",100
"MBBS, MD - General Medicine, DM - Cardiology",21,95,"Velachery, Chennai","General Medicine",500
"FNB - Infectious Disease, MBBS, DNB - General Medicine",8,95,"Vileparle West, Mumbai","General Medicine",100
"BAMS",26,88,"Kundalahalli, Bangalore","Ayurveda",150
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",37,100,"Mayur Vihar Ph-I, Delhi","General Medicine",600
"BDS, MDS - Prosthodontist And Crown Bridge, Fellowship in Oral implantlogy",19,96,"Kailash Colony, Delhi","Dentist",500
"BDS",23,75,"Pandav Nagar, Delhi","Dentist",400
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",33,95,"Yeshwanthpur, Bangalore","ENT Specialist",300
"BDS, MDS",24,95,"Karkhana, Hyderabad","Dentist",100
"MBBS, Diploma in Otorhinolaryngology (DLO)",19,95,"Banashankari 3rd Stage, Bangalore","ENT Specialist",250
"MBBS, Division of Clinical Psychology (DCP)",37,95,"West Mambalam, Chennai","General Medicine",150
"DNB - General Medicine, FRCP, MBBS",13,100,"Aminjikarai, Chennai","General Medicine",500
"MBBS",17,95,"Jogeshwari East, Mumbai","General Medicine",50
"MBBS, MD - Dermatology",15,69,"Andheri, Mumbai","Dermatologists",100
"BDS, MDS - Prosthodontics, MSc - Master of Oral Implantology (MOI)",19,98,"Arekere, Bangalore","Dentist",250
"BDS, MDS - Oral Medicine and Radiology",12,97,"Madipakkam, Chennai","Dentist",200
"BDS",8,95,"Santacruz West, Mumbai","Dentist",100
"MBBS, MD - Pediatrics",24,95,"Chetpet, Chennai","General Medicine",300
"MBBS, MD - Oncology, Diploma in Child Health (DCH)",43,95,"Chetpet, Chennai","General Medicine",400
"MBBS, DDV",19,92,"Singanallur, Coimbatore","Dermatologists",200
"DNB - Dermatology & Venereology, FCPS - Dermatology, Venereology & Leprosy, Diploma in Dermatology, MBBS",9,93,"Charkop, Mumbai","Dermatologists",500
"BDS, MDS - Pedodontics",7,95,"Adarsh Nagar, Delhi","Dentist",250
"BHMS",3,95,"Malleswaram, Bangalore","Homeopath",100
"BAMS, MD - Alternate Medicine",21,95,"Dadar, Mumbai","Ayurveda",300
"BHMS",6,95,"Kaggadasapura, Bangalore","Homeopath",200
"BDS",13,99,"Matunga, Mumbai","Dentist",300
"MBBS, MD - Skin & VD, DDV",36,95,"Matunga, Mumbai","Dermatologists",100
"BAMS",14,95,"Sun city, Hyderabad","Ayurveda",200
"MBBS",34,95,"Dilshad Garden, Delhi","General Medicine",250
"BAMS",15,95,"Whitefield, Bangalore","Ayurveda",350
"MBBS, MS - ENT",32,95,"Basavanagudi, Bangalore","ENT Specialist",300
"MBBS, MD - Dermatology , Venereology & Leprosy",10,95,"Vikas Puri, Delhi","Dermatologists",300
"BDS",7,95,"Bellandur, Bangalore","Dentist",200
"BAMS",30,95,"Dwarka, Delhi","Ayurveda",200
"BHMS",6,95,"Mahadevapura, Bangalore","Homeopath",250
"MD - Homeopathy, BHMS, Certificate in Child Health (CCH)",14,94,"Borivali West, Mumbai","Homeopath",500
"MBBS, MF- Homeopathy",5,100,"Karkhana, Hyderabad","Homeopath",200
"BHMS, Masters in Counselling and Psychotherapy, Diploma in Rheumatology",8,98,"Begumpet, Hyderabad","Homeopath",100
"MBBS",22,95,"Adyar, Chennai","General Medicine",400
"BDS",23,94,"Kalady, Ernakulam","Dentist",100
"MBBS",40,95,"Anna Nagar West, Chennai","General Medicine",100
"BDS, MCP(UCLA-USA)",21,97,"Whitefield, Bangalore","Dentist",100
"BHMS, MD - Homeopathy",8,95,"Mayur Vihar Ph-II, Delhi","Homeopath",100
"MDS - Prosthodontist And Crown Bridge, BDS",3,95,"Anna Nagar West, Chennai","Dentist",250
"BDS",4,100,"Wadala, Mumbai","Dentist",300
"MBBS, MS - Otorhinolaryngology",33,95,"Tis Hazari, Delhi","ENT Specialist",550
"BAMS",8,95,"Vennala, Ernakulam","Ayurveda",100
"BDS",4,95,"Ambattur, Chennai","Dentist",100
"BHMS",15,95,"Mira Road, Mumbai","Homeopath",50
"MBBS",25,95,"Alwal, Hyderabad","General Medicine",200
"Get inspired by remarkable stories of people like you",0,95,"","Dermatologists",100
"MBBS, Diploma in Otorhinolaryngology (DLO)",28,95,"Peelamedu, Coimbatore","ENT Specialist",250
"MBBS, MS - ENT",26,95,"Kanakpura Road, Bangalore","ENT Specialist",450
"MBBS, MD - General Medicine",7,100,"Secunderabad, Hyderabad","General Medicine",400
"BDS, MDS - Oral & Maxillofacial Surgery",4,95,"Trimulgherry, Hyderabad","Dentist",500
"MBBS, MD - Dermatology , Venereology & Leprosy",4,100,"Himayat Nagar, Hyderabad","Dermatologists",500
"MD - Dermatology, Diploma in Dermatology, MBBS",36,95,"Borivali West, Mumbai","Dermatologists",100
"BAMS",8,95,"Chattarpur, Delhi","Ayurveda",300
"BDS, MDS - Prosthodontics",36,95,"Mayur Vihar Ph-I, Delhi","Dentist",250
"MBBS, M.D. (Psychiatry)",33,95,"Raja Annamalai Puram, Chennai","General Medicine",100
"BHMS, MD - Homeopathy",26,97,"Andheri West, Mumbai","Homeopath",100
"BHMS",6,95,"T Nagar, Chennai","Homeopath",300
"PhD - Neuropsychology, BAMS",18,95,"JP Nagar 7 Phase, Bangalore","Ayurveda",400
"MBBS, MD - General Medicine",12,95,"Malad West, Mumbai","General Medicine",100
"BDS",6,95,"Old Bowenpally, Hyderabad","Dentist",200
"BHMS, Post Graduate Diploma in Emergency Services (PGDEMS)",16,95,"Vikas Puri, Delhi","Homeopath",500
"MBBS",27,95,"Santosh Nagar, Hyderabad","General Medicine",100
"BDS, MDS - Prosthodontist And Crown Bridge",9,95,"Hope College, Coimbatore","Dentist",100
"MBBS, Diploma in Otorhinolaryngology (DLO)",6,95,"Mulund East, Mumbai","ENT Specialist",500
"BDS",13,95,"Mount Road, Chennai","Dentist",200
"MD - Homeopathy, BHMS",23,95,"Ramesh Nagar, Delhi","Homeopath",100
"BAMS",13,95,"Patel Nagar West, Delhi","Homeopath",100
"MBBS, MS - ENT, Fellowship in ENT",12,95,"Jayanagar 4 Block, Bangalore","ENT Specialist",100
"MBBS, MS - ENT",18,95,"RT Nagar, Bangalore","General Medicine",250
"MBBS, MD - Dermatology , Venereology & Leprosy",6,95,"West Marredpally, Hyderabad","Dermatologists",400
"MDS - Pedodontics",9,97,"Dilsukhnagar, Hyderabad","Dentist",200
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",27,95,"Mandaveli, Chennai","General Medicine",300
"MBBS, MS - Otorhinolaryngology",15,93,"Whitefield, Bangalore","ENT Specialist",600
"MBBS, DNB - Dermatology, Venereology & Leprosy, Fellowship in Aesthetic Medicine",7,95,"Jagriti Enclave, Delhi","Dermatologists",500
"BDS, MDS - Orthodontics",8,100,"Ghatkopar East, Mumbai","Dentist",300
"BDS, MDS - Oral & Maxillofacial Surgery",38,95,"Vikas Puri, Delhi","Dentist",500
"MBBS",43,93,"Sarita Vihar, Delhi","General Medicine",300
"MBBS, DGO",16,95,"Rajendra Nagar, Hyderabad","General Medicine",150
"MS - ENT, MBBS",24,95,"Thudiyalur, Coimbatore","ENT Specialist",250
"MD - Dermatology",5,95,"Bhayandar East, Mumbai","Dermatologists",500
"MBBS, DDV",37,80,"Safdarjung Enclave, Delhi","Dermatologists",700
"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",11,99,"Thiruvottiyur, Chennai","Dentist",100
"MBBS, MS - Otorhinolaryngology",7,95,"LB Nagar, Hyderabad","ENT Specialist",350
"BHMS, Diploma In Naturopathy (ND), MD - Homeopathy",6,95,"Ghatkopar East, Mumbai","Homeopath",450
"BDS, MDS - Oral Medicine and Radiology",7,100,"Ambattur, Chennai","Dentist",100
"BDS",38,98,"Narayanguda, Hyderabad","Dentist",200
"BAMS, MD - Ayurveda Medicine",22,95,"Kothapet, Hyderabad","Ayurveda",300
"MBBS, DDVL",10,96,"Karol Bagh, Delhi","Dermatologists",400
"BDS, MDS - Conservative Dentistry & Endodontics",14,98,"Banjara Hills, Hyderabad","Dentist",200
"MD - Ayurveda Medicine, BAMS, PG Diploma in Sexual Medicine",32,100,"Borivali, Mumbai","Ayurveda",500
"MBBS, MD - Dermatology , Venereology & Leprosy",5,95,"Hope College, Coimbatore","Dermatologists",150
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT, Diploma in Medical Law and Ethics (PGDMLE)",25,98,"Koramangala, Bangalore","ENT Specialist",700
"BAMS",11,96,"Arekere, Bangalore","Ayurveda",100
"MBBS, MRCP (UK)",19,95,"Nungambakkam, Chennai","General Medicine",100
"BHMS, MBA (Health Care), Post Graduate Diploma in Healthcare Management(PGDHM), MS - Psychology",21,95,"KK Nagar, Chennai","Homeopath",500
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",10,97,"Tripunithura, Ernakulam","Dentist",450
"BAMS",8,95,"Borivali West, Mumbai","Ayurveda",500
"MD - Skin & VD, MBBS",15,95,"HSR Layout, Bangalore","Dermatologists",400
"BDS",21,95,"R.S. Puram, Coimbatore","Dentist",100
"MBBS, MS - ENT",39,95,"Vanasthalipuram, Hyderabad","ENT Specialist",350
"MBBS, MD - Internal Medicine",9,94,"Secunderabad, Hyderabad","General Medicine",600
"MBBS, MD - Internal Medicine",33,95,"Jubilee Hills, Hyderabad","General Medicine",800
"BDS, MDS - Oral & Maxillofacial Surgery",12,92,"Chandivali, Mumbai","Dentist",200
"MBBS, DNB - Dermatology & Venereology, Diplomate of American board of hair restoration surgery",13,100,"Model Town, Delhi","Dermatologists",100
"MBBS",39,95,"Mulund West, Mumbai","General Medicine",100
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",29,95,"Kakkanad, Ernakulam","ENT Specialist",300
"BAMS, MD - Ayurveda Medicine",43,95,"Andheri East, Mumbai","Ayurveda",100
"MD - Dermatology , Venereology & Leprosy, MBBS",8,95,"Suchitra Circle, Hyderabad","Dermatologists",300
"MBBS, MD - Pediatrics, Post Graduate Diploma in Diabetes",8,95,"Pusa Road, Delhi","General Medicine",100
"MBBS, MD - Dermatology",10,95,"Vijaynagar Colony, Hyderabad","Dermatologists",400
"BAMS",11,95,"Mayur Vihar Ph-I, Delhi","Ayurveda",500
"MBBS, MD - Dermatology , Venereology & Leprosy",9,99,"Adyar, Chennai","Dermatologists",500
"BHMS",20,95,"Alwarpet, Chennai","Homeopath",450
"MBBS, MS - ENT",11,95,"Villivakkam, Chennai","ENT Specialist",150
"BDS, MDS - Conservative Dentistry & Endodontics",8,100,"Chembur East, Mumbai","Dentist",300
"BHMS",13,95,"BTM Layout, Bangalore","Homeopath",300
"BHMS",26,93,"Mayur Vihar Ph-I, Delhi","Homeopath",250
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, MNAMS - Plastic Surgery, Certified in Hair Transplantation",10,96,"Malad West, Mumbai","Dermatologists",600
